# BEAST v1.10.4
# Generated Sun Aug 23 18:59:17 EAT 2020 [seed=1598198332819]
# -threads 10 world_masked.aligned_copy_beast.xml
state	country.rates.Brazil.China	country.rates.Brazil.India	country.rates.Brazil.Italy	country.rates.Brazil.Kenya	country.rates.Brazil.Russia	country.rates.Brazil.South_Africa	country.rates.Brazil.UAE	country.rates.Brazil.UK	country.rates.Brazil.USA	country.rates.Brazil.Uganda	country.rates.China.India	country.rates.China.Italy	country.rates.China.Kenya	country.rates.China.Russia	country.rates.China.South_Africa	country.rates.China.UAE	country.rates.China.UK	country.rates.China.USA	country.rates.China.Uganda	country.rates.India.Italy	country.rates.India.Kenya	country.rates.India.Russia	country.rates.India.South_Africa	country.rates.India.UAE	country.rates.India.UK	country.rates.India.USA	country.rates.India.Uganda	country.rates.Italy.Kenya	country.rates.Italy.Russia	country.rates.Italy.South_Africa	country.rates.Italy.UAE	country.rates.Italy.UK	country.rates.Italy.USA	country.rates.Italy.Uganda	country.rates.Kenya.Russia	country.rates.Kenya.South_Africa	country.rates.Kenya.UAE	country.rates.Kenya.UK	country.rates.Kenya.USA	country.rates.Kenya.Uganda	country.rates.Russia.South_Africa	country.rates.Russia.UAE	country.rates.Russia.UK	country.rates.Russia.USA	country.rates.Russia.Uganda	country.rates.South_Africa.UAE	country.rates.South_Africa.UK	country.rates.South_Africa.USA	country.rates.South_Africa.Uganda	country.rates.UAE.UK	country.rates.UAE.USA	country.rates.UAE.Uganda	country.rates.UK.USA	country.rates.UK.Uganda	country.rates.USA.Uganda	country.indicators.Brazil.China	country.indicators.Brazil.India	country.indicators.Brazil.Italy	country.indicators.Brazil.Kenya	country.indicators.Brazil.Russia	country.indicators.Brazil.South_Africa	country.indicators.Brazil.UAE	country.indicators.Brazil.UK	country.indicators.Brazil.USA	country.indicators.Brazil.Uganda	country.indicators.China.India	country.indicators.China.Italy	country.indicators.China.Kenya	country.indicators.China.Russia	country.indicators.China.South_Africa	country.indicators.China.UAE	country.indicators.China.UK	country.indicators.China.USA	country.indicators.China.Uganda	country.indicators.India.Italy	country.indicators.India.Kenya	country.indicators.India.Russia	country.indicators.India.South_Africa	country.indicators.India.UAE	country.indicators.India.UK	country.indicators.India.USA	country.indicators.India.Uganda	country.indicators.Italy.Kenya	country.indicators.Italy.Russia	country.indicators.Italy.South_Africa	country.indicators.Italy.UAE	country.indicators.Italy.UK	country.indicators.Italy.USA	country.indicators.Italy.Uganda	country.indicators.Kenya.Russia	country.indicators.Kenya.South_Africa	country.indicators.Kenya.UAE	country.indicators.Kenya.UK	country.indicators.Kenya.USA	country.indicators.Kenya.Uganda	country.indicators.Russia.South_Africa	country.indicators.Russia.UAE	country.indicators.Russia.UK	country.indicators.Russia.USA	country.indicators.Russia.Uganda	country.indicators.South_Africa.UAE	country.indicators.South_Africa.UK	country.indicators.South_Africa.USA	country.indicators.South_Africa.Uganda	country.indicators.UAE.UK	country.indicators.UAE.USA	country.indicators.UAE.Uganda	country.indicators.UK.USA	country.indicators.UK.Uganda	country.indicators.USA.Uganda	country.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	55.0
10000	0.44889127395045925	2.4672725812651994	2.6733636325942194	1.7688138185823086	7.669979075779524	0.7747495453867045	0.645922424837116	4.022259628063525	2.685025355793691	4.051350521976586	2.435041321661988	6.585946992731973	0.8916640363939369	1.5111623366037261	0.19976770305513067	1.3345299064180214	0.6851506988616579	0.4912800315921761	1.8201220024969342	2.2817109718172865	1.9150827113151858	2.9005049095961883	2.7529173063384427	5.813515521803829	3.435395074081121	4.031570086953947	1.1253106289525554	0.6445830750248321	3.404134015014063	0.36384412591287996	3.099506759298869	4.126301892850522	3.95263763832693	0.7817519602155402	1.4870970772093588	1.5825935990893019	5.736961890999151	8.155249405540172	0.3377550554390112	2.1378627953252454	2.07579597763972	0.8248461196432163	6.383617985480006	5.812942272978946	1.456406736713727	2.9460730369857604	0.5900921256689401	2.2246944025026822	1.6070499444881285	3.496880774658506	0.232767455576877	3.1987861475620716	2.7600904658367327	1.2661121739242085	0.9982482336804697	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	25.0
20000	0.5499778958730377	0.9445932169117105	1.116738430050432	3.575209150000479	3.963204283406504	0.4764200402904234	0.7352151566711318	1.3528240987348057	1.0961289123378901	2.403067952960739	4.058879618834475	2.216019720958746	0.2274970302113235	2.0622103886967054	0.313047233938499	1.8322849795065603	0.4660660686080992	0.6139601311379885	1.1311303629465472	2.2062678437889702	2.5230775878405334	2.1967786516201295	1.096952825976422	5.609435486774643	1.7388052108263825	1.7248289332000353	1.292262018692772	0.2515268180377033	2.562312424143553	0.43336889445429566	0.9762561177791576	1.602203453234137	2.293006156476154	0.7438791585952186	0.8112811647631419	1.759749352674709	2.3269160916694873	7.682719786375204	0.32693201221063384	0.6454433539267708	5.371328660560011	1.1211809070277083	3.3706321073379164	2.3702409128296447	0.792828422414836	2.0539038257170437	0.28108134326225576	1.1764498449168042	1.2917858590343747	3.8145374608881384	0.2441091310554378	4.812589536762129	0.4866154328130057	1.734483593400763	3.7357242345780284	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0
30000	0.4299829009884586	1.444774817750326	1.228590471122577	3.565022923405333	2.6905073201730505	0.3574254707253525	0.7467652568942333	1.1230847467277125	0.9503615426214215	1.5099963787151192	1.8681396293495924	1.1982476199652523	0.19050609889244388	3.4116306318699943	0.07435107633872633	0.30573371863321935	0.346500892414725	0.5344203762653249	4.33472312939698	2.5202923811149565	1.9089863524089614	1.530821544558915	0.9553715494103271	0.520623176158462	0.7087947948163865	0.9786874409807411	0.16149654165978564	0.16564000138045498	1.6040566790970197	0.2168794778247677	0.6196946272319221	0.6013692154693077	1.1256568816080097	0.3868625068399744	0.2956811694779786	2.461334807082171	2.6105128361244274	2.879911093003581	1.3613271362639074	0.4059316366549426	6.990974572969292	8.322030831495914	3.403282620385851	2.0544716657722923	0.3679867528805734	2.1567448686830657	0.28804957541292014	0.5233451599866566	2.1317153734284062	0.490741358830488	0.10769203250699015	3.553369864832963	0.7344301829385022	0.785838044594995	0.9910475340674061	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
40000	0.5410974935420402	0.5088353333966504	1.1559272743541795	0.959300837139269	2.630527019828336	0.23110438674174644	2.4480918465402635	0.3499617503176565	3.086227918288354	1.6487511074367014	0.8840549173641087	1.3968129340021391	0.5861405999727284	1.9586301151968042	0.1320285256792467	1.9675083607372192	0.8674038314595982	0.13314729825840757	1.2178576246498585	1.3900367183333564	2.477983955203198	1.4972463029068916	0.9795835924118282	1.3696551606410854	0.6658116791263313	0.776772518844215	0.22648565963855768	0.1695406750310702	1.5341303689933368	0.33613935329944655	0.7275443841812239	0.6368915446774498	1.358304969866472	0.07753519658507049	0.23113175943044442	1.3268073433492364	2.5891366400186606	2.6995420944259476	2.128184646776795	0.9892093454293528	2.2228509657588766	2.9190059003382496	2.6442382980781725	1.659533320920749	0.4856929254784506	0.43667102935877083	0.24614387036449417	0.32600429601661446	0.7676326816748483	1.0933774620686207	0.266683936157086	1.096565074369645	0.3566269197021464	0.3018731535348946	3.178494922741632	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0
50000	0.6129009194218121	0.4181558775368507	1.4454833601381207	1.6859540350334423	2.065176489057427	0.2979731275383235	0.29771139026884336	0.5972484340232406	3.126847631154372	1.9682605267597464	0.4448594889342492	2.020526386790819	2.8778899825140125	3.022076864287925	0.07424381219816455	3.5496256171550047	1.4943499579251633	0.4326272356853668	0.31061236626820327	0.7212844785269236	0.8588920177876487	1.4216495625930563	1.0294185838579255	1.355294495905128	0.8693625810001789	0.8381422632449163	0.24758013595901301	0.44494915873198754	1.523949642194555	0.49095089763236116	0.718340987826167	0.9653961752696977	1.1381054514366686	0.09875752306396515	0.35060773139956564	2.5910963763379518	0.8805300496188645	0.9264528826119716	2.8382167866272856	0.5026062538334951	0.9840978676500957	0.767812760874504	2.7099937203306848	2.065715541053887	0.31766279479754184	0.5204143151682965	0.16074764890283702	0.3734553466433773	0.7347676589886737	0.9906839417044485	0.10603324946323606	1.3309549331129031	0.4532891512556832	0.4974075485696728	0.4904030012941061	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
60000	0.17133241372758445	0.030251317358224235	1.843588310923582	3.679254274540882	2.3346928732207535	0.3860971152769008	0.32768475451149526	0.7787857344481778	0.607388787936983	3.858544063062165	0.341755707949993	1.7454871771377678	2.956300260523307	3.5257623847752653	0.07941453680928971	5.864782818045114	0.9018942950671877	0.3272972007637162	1.320637626869554	0.19335120703101186	0.313990459710434	1.8013770953171373	1.348705548113118	2.0629062781423437	0.9626855473311677	1.4795584449344465	0.5380689131210267	0.07736848210155339	2.1306169414647314	0.30397151204219947	1.1651211790894502	1.2151885486248966	1.4138999515792874	0.22253045202480684	0.5359265537993949	1.3528351578745008	1.6462737804256515	0.421830753496462	2.9328450023000108	0.25987304484598756	0.8038212396790884	3.815683559146374	2.7242687237114525	1.0049195856517745	0.45217927626978766	0.20973631199311016	0.38483178298900506	0.3495366997684572	1.0412499025167061	1.3721463642573526	0.09523573930628612	1.024341711598123	0.7572985626955954	0.09824483009402683	0.6090271771525453	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	22.0
70000	0.5375323151291573	0.04984633959526585	1.5472905948191613	1.3108371642457795	2.5182910957319415	0.1918024454781971	0.7617842488519508	1.4304805006475678	0.9249510890339858	1.6385478916426126	0.4175037710250623	1.5059569338112204	2.1399993687671826	0.7901740454774959	0.05530591278287424	1.497760370011424	0.09371442265945147	0.725469682676062	0.5557526519682399	0.3145056139693961	0.2923826304200481	1.586684006058228	0.872290486838092	2.1918258511319926	1.0114415116799926	1.4432762411455569	0.850613713712634	0.1886828046629477	1.9024592014419945	0.4506704492353942	0.998350708187146	1.4572202480154994	1.3550238061063156	0.28601229048057125	0.3860601471131456	1.153565816632986	2.495357687709092	0.5045041304944251	1.3814155294796846	0.14018924998180388	0.4549119412010425	3.547227443374136	2.9014129474693324	1.88493252815852	0.7558374217048223	0.035353918901168194	0.530742108115842	0.5397065585288492	1.6972011325830414	0.8535257333811038	0.31807121933630034	0.23324100794951957	0.17656643275440803	0.2470805681141185	1.6191058669949094	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	23.0
80000	1.0058878510269016	0.06005841287324949	1.1025400955761584	1.171411611319335	2.170706560853615	0.13978834349693345	0.28263426889300763	0.8939926484394738	1.4436165965536554	0.8044743894104008	0.5479051372081829	1.1219772619834156	0.5831134327643578	0.2646111353892251	0.04683995665512411	1.0887509057479756	0.2312763076440741	0.5660189162517623	0.344317559281341	0.23707521472204693	0.5965195840661157	1.0545416113719703	0.8517795334290673	0.9896119931165965	0.8144620408518654	0.7854739949418202	0.3185368940307729	0.14989190207349704	1.4173199492884758	0.38971952432586	0.7953109362704669	1.349426935348557	0.9139891195102232	0.33478088956509144	0.19918621232647085	0.2712668021408159	5.328268421002066	0.21134137225051966	0.610033368929673	0.11460998764543749	0.4606698345490305	1.1179531843038149	1.7831929927384518	1.2641182096065946	0.5057123004358017	0.023240715647848704	0.22714184607917254	0.30035242683954766	2.3343899912189765	1.0154174295317613	0.17071661751033787	0.19434574294674123	0.3860540517650284	0.29762154201614094	2.8351714796487495	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	24.0
90000	1.3674026708117726	0.20799737450022088	1.220477602271071	2.109343683787902	2.1550015002078236	0.17181105262982954	0.34264444461410615	0.9122458204181729	1.2117306499890088	1.9897553461701418	0.9562262280467627	1.29469649527098	0.32993052497854564	0.9158245799846044	0.019001777494287123	0.5738800554844077	0.6027520534746663	0.7463666715864101	0.3498727981611926	0.14867552994893662	0.48619683701978106	1.3230843016342602	0.7930108225831158	0.5488946184700817	0.4996834339855466	0.7118154545638273	0.8467221399617034	0.20810050053271148	1.392691469416752	0.3784823891885262	0.9512633270656846	1.5672823898991732	1.7319711242357656	0.12671723195046095	0.5070899627252764	0.49660995968450633	1.0950363031052648	0.07902596598155412	0.21123759211413773	0.04077914567881198	0.5403996354424485	0.6469306063455003	1.8678744671567764	1.9647199227614487	0.2869951421211787	0.00564012342883395	0.5084396362174779	0.32479238261023186	1.5844445612771128	1.5047703676090114	0.08424495227412174	0.03392541599842399	0.4204041874326164	1.2579948334898554	2.7726178289830603	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	25.0
